page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    6000  4000  cmyk    4   8  image  no     22442  0   196   196 42.4M  46%
   3     1 image    8192  8192  cmyk    4   8  image  no     22454  0  1171  1171 31.4M  12%
   3     2 smask    8192  8192  gray    1   8  image  no     22454  0  1171  1171  312K 0.5%
   3     3 image    1920  1080  cmyk    4   8  image  no     22455  0   167   167 1329K  16%
   3     4 image     564   402  cmyk    4   8  image  no     22465  0   129   129  374K  42%
   3     5 image    1546  1878  cmyk    4   8  image  no     22476  0  1487  1487 4491K  40%
   3     6 image    1475  1792  cmyk    4   8  image  no     22484  0  1293  1293 4202K  41%
   3     7 image    1436  1744  cmyk    4   8  image  no     22485  0   953   953 4487K  46%
   3     8 image    1664  2023  cmyk    4   8  image  no     22486  0  1751  1751 5963K  45%
   3     9 image    1782  2166  cmyk    4   8  image  no     22487  0  1447  1447 6621K  44%
   3    10 image    2396  1716  cmyk    4   8  image  no     22488  0   403   403 6152K  38%
   3    11 smask    2396  1716  gray    1   8  image  no     22488  0   403   403 70.6K 1.8%
   3    12 image    2396  1716  cmyk    4   8  image  no     22488  0   379   379 6152K  38%
   3    13 smask    2396  1716  gray    1   8  image  no     22488  0   379   379 70.6K 1.8%
   3    14 image    2160  1572  cmyk    4   8  image  no     22456  0   380   380 2813K  21%
   3    15 smask    2160  1572  gray    1   8  image  no     22456  0   380   380 33.8K 1.0%
   3    16 image    2160  1572  cmyk    4   8  image  no     22456  0   361   361 2813K  21%
   3    17 smask    2160  1572  gray    1   8  image  no     22456  0   361   361 33.8K 1.0%
   3    18 image    4956   712  cmyk    4   8  image  no     22457  0   424   393  142K 1.0%
   3    19 smask    4956   712  gray    1   8  image  no     22457  0   424   393 84.7K 2.5%
   3    20 image    1535  2048  cmyk    4   8  image  no     22458  0   409   409 2308K  19%
   3    21 image    1535  2048  cmyk    4   8  image  no     22459  0   464   464 2070K  17%
   3    22 image    1535  2048  cmyk    4   8  image  no     22460  0   504   504 2549K  21%
   3    23 image     740  1062  cmyk    4   8  image  no     22461  0   202   202  471K  15%
   3    24 image    1441  2182  cmyk    4   8  image  no     22462  0   495   495 1641K  13%
   3    25 image     588   663  index   1   8  image  no     22463  0   122   122  133K  35%
   3    26 image    1273  1400  rgb     3   8  image  no     22464  0   290   290 2066K  40%
   3    27 image    1467   905  index   1   8  image  no     22466  0   327   327 90.7K 7.0%
   3    28 smask    1467   905  gray    1   8  image  no     22466  0   327   327 1337B 0.1%
   3    29 image    1920  1080  cmyk    4   8  image  no     22467  0   167   167 1316K  16%
   3    30 image     600   600  cmyk    4   8  image  no     22468  0   385   385  211K  15%
   3    31 image     732   549  cmyk    4   8  image  no     22469  0   353   353  478K  30%
   3    32 image    1170  1560  cmyk    4   8  image  no     22470  0   758   758  616K 8.6%
   3    33 image    1170  1560  cmyk    4   8  image  no     22471  0   758   758  617K 8.7%
   3    34 image    1170  1560  cmyk    4   8  image  no     22472  0   758   758  521K 7.3%
   3    35 image    1170  1560  cmyk    4   8  image  no     22473  0   758   758  706K  10%
   3    36 image    1170  1560  cmyk    4   8  image  no     22474  0   758   758  662K 9.3%
   3    37 image    1170  1560  cmyk    4   8  image  no     22475  0   758   758  625K 8.8%
   3    38 image    1170  1560  cmyk    4   8  image  no     22477  0   758   758  752K  11%
   3    39 image    1170  1560  cmyk    4   8  image  no     22478  0   758   758  653K 9.2%
   3    40 image    1170  1560  cmyk    4   8  image  no     22479  0   758   758  766K  11%
   3    41 image    2880  1800  cmyk    4   8  image  no     22480  0   247   247  492K 2.4%
   3    42 smask    2880  1800  gray    1   8  image  no     22480  0   247   247 10.9K 0.2%
   3    43 image    2732  2048  index   1   8  image  no     22481  0   205   205 23.0K 0.4%
   3    44 smask    2732  2048  gray    1   8  image  no     22481  0   205   205 35.2K 0.6%
   3    45 image    2732  2048  index   1   8  image  no     22482  0   161   161 44.3K 0.8%
